CatalogStId,SidStarID,Number,RouteL
1,1102,1,4
1,1102,1,5
1,1102,1,6
1,1102,1,7
1,1102,2,4
1,1102,2,5
1,1102,2,6
1,1103,1,4
1,1103,1,5
1,1103,1,6
1,1103,1,7
1,1103,2,4
1,1103,2,5
1,1103,2,6
1,1104,1,4
1,1104,1,5
1,1104,1,6
1,1104,1,7
1,1104,2,4
1,1104,2,5
1,1104,2,6
1,1104,2,7
1,1105,1,4
1,1105,1,5
1,1105,1,6
1,1105,1,7
1,1105,2,4
1,1105,2,5
1,1105,2,6
1,1106,1,4
1,1106,1,5
1,1106,1,6
1,1106,1,7
1,1106,2,4
1,1106,2,5
1,1106,2,6
1,1107,1,4
1,1107,1,5
1,1107,1,6
1,1107,2,4
1,1107,2,5
1,1108,1,4
1,1108,1,5
1,1108,1,6
1,1108,1,7
1,1108,2,4
1,1108,2,5
1,1108,2,6
1,1109,1,4
1,1109,1,5
1,1109,1,6
1,1109,1,7
1,1109,2,4
1,1109,2,5
1,1109,2,6
1,1109,2,7
1,1110,1,4
1,1110,1,5
1,1110,1,6
1,1110,1,7
1,1110,2,4
1,1110,2,5
1,1110,2,6
1,1110,2,7
1,1111,1,4
1,1111,1,5
1,1111,1,6
1,1111,1,7
1,1111,2,4
1,1111,2,5
1,1111,2,6
1,1111,2,7
1,1112,1,4
1,1112,1,5
1,1112,1,6
1,1112,1,7
1,1112,2,4
1,1112,2,5
1,1112,2,6
1,1112,2,7
1,1113,1,4
1,1113,1,5
1,1113,1,6
1,1113,1,7
1,1113,2,4
1,1113,2,5
1,1113,2,6
1,1113,2,7
1,1114,1,4
1,1114,1,5
1,1114,1,6
1,1114,1,7
1,1114,2,4
1,1114,2,5
1,1114,2,6
1,1115,1,4
1,1115,1,5
1,1115,1,6
1,1115,1,7
1,1115,2,4
1,1115,2,5
1,1115,2,6
1,1115,2,7
1,1116,1,4
1,1116,1,5
1,1116,1,6
1,1116,1,7
1,1116,2,4
1,1116,2,5
1,1116,2,6
1,1116,2,7
1,1117,1,4
1,1117,1,5
1,1117,1,6
1,1117,1,7
1,1117,2,4
1,1117,2,5
1,1117,2,6
1,1117,2,7
1,1118,1,4
1,1118,1,5
1,1118,1,6
1,1118,1,7
1,1118,2,4
1,1118,2,5
1,1118,2,6
1,1118,2,7
1,1119,1,4
1,1119,1,5
1,1119,1,6
1,1119,1,7
1,1119,2,4
1,1119,2,5
1,1119,2,6
1,1148,1,4
1,1148,1,5
1,1148,1,6
1,1148,1,7
1,1148,2,4
1,1148,2,5
1,1148,2,6
1,1149,1,4
1,1149,1,5
1,1149,1,6
1,1149,1,7
1,1149,2,4
1,1149,2,5
1,1149,2,6
1,1150,1,4
1,1150,1,5
1,1150,1,6
1,1150,1,7
1,1150,2,4
1,1150,2,5
1,1150,2,6
1,1150,2,7
1,1155,1,4
1,1155,1,5
1,1155,1,6
1,1155,1,7
1,1155,2,4
1,1155,2,5
1,1155,2,6
1,1155,2,7
1,1156,1,4
1,1156,1,5
1,1156,1,6
1,1156,1,7
1,1156,2,4
1,1156,2,5
1,1156,2,6
1,1156,2,7
1,1157,1,4
1,1157,1,5
1,1157,1,6
1,1157,1,7
1,1157,2,4
1,1157,2,5
1,1157,2,6
1,1157,2,7
1,1158,1,4
1,1158,1,5
1,1158,1,6
1,1158,1,7
1,1158,2,4
1,1158,2,5
1,1158,2,6
1,1158,2,7
1,1159,1,4
1,1159,1,5
1,1159,1,6
1,1159,1,7
1,1159,2,4
1,1159,2,5
1,1159,2,6
1,1159,2,7
1,1160,1,4
1,1160,1,5
1,1160,1,6
1,1160,1,7
1,1160,2,4
1,1160,2,5
1,1160,2,6
